id,age,avg_salary,government_employee,highest_education,employment_type,len_employment,study_status,size_of_company,investments,investments_value,property_owned_value,reported_monthly_income,total_existing_debt,housing_status,credit_history,loan_amount,loan_term,monthly_payment,stability_income,total_stable_income_monthly,core_net_worth,ratio_income_debt,ratio_debt_net_worth,ratio_payment_to_income,age_young,age_prime,age_senior,age_old,ratio_income_to_avg_salary,mortgage_end_age,years_of_mortgage_after_retirement,defaulted,loan_approved
1,32,29750.0,no,high_school,freelancer,2,no,1,yes,0.0,3670361,23500,2604402.0,mortgage,excellent,2160130,21,8625.0,0.56164,21440.0,1136459.0,0.98,0.95,0.55,0,1,0,0,0.53,53,-12,0.315,0.00467
2,33,29750.0,no,master,permanent,11,no,10894,yes,43550079.0,26705811,238000,542819.0,mortgage,excellent,18657347,14,111514.0,0.83562,230176.0,70427071.0,0.75,0.75,0.71,0,1,0,0,1.0,47,-18,0.2704,4e-05
3,44,29750.0,no,high_school,permanent,21,no,7269,no,0.0,0,30100,0.0,rent,fair,3505817,25,11772.0,0.72603,28451.0,90300.0,0.0,0.0,0.58,0,0,1,0,0.71,69,4,0.4866,0.00151
4,34,29750.0,no,bachelor,permanent,3,no,10149,no,0.0,0,14900,0.0,rent,bad,1952996,27,6076.0,0.75342,14165.0,44700.0,0.0,0.0,0.61,0,1,0,0,0.23,61,-4,0.9614,3e-05
5,60,29750.0,no,master,unemployed,0,no,0,no,0.0,0,0,0.0,rent,bad,100000,13,643.0,0.32877,0.0,0.0,0.0,0.0,0.99,0,0,0,1,0.0,73,8,2.0,0.0
6,22,29750.0,no,bachelor,temporary,0,no,64,no,0.0,0,14900,0.0,rent,bad,865096,15,4827.0,0.56164,13594.0,44700.0,0.0,0.0,0.45,1,0,0,0,0.13,37,-28,0.9039,0.0003
7,27,29750.0,no,high_school,temporary,4,no,3,no,0.0,0,27400,0.0,rent,bad,852829,14,5097.0,0.57534,25073.0,82200.0,0.0,0.0,0.13,0,1,0,0,0.64,41,-24,0.5439,0.00031
8,36,29750.0,no,bachelor,permanent,3,no,12399,no,0.0,0,14900,0.0,rent,fair,594092,8,6203.0,0.75342,14165.0,44700.0,0.0,0.0,0.63,0,1,0,0,0.23,44,-21,0.6081,0.002
9,34,29750.0,no,basic,permanent,12,no,8033,no,0.0,0,14900,0.0,rent,bad,1383936,25,4647.0,0.63014,13798.0,44700.0,0.0,0.0,0.41,0,1,0,0,0.18,59,-6,0.8636,0.0003
10,23,29750.0,no,high_school,unemployed,0,no,0,no,0.0,0,0,0.0,rent,bad,100000,32,263.0,0.31507,0.0,0.0,0.0,0.0,0.98,1,0,0,0,0.0,55,-10,2.0,0.0
11,63,29750.0,no,basic,freelancer,17,no,1,yes,0.0,1115341,16300,324069.0,mortgage,bad,1853258,17,9130.0,0.34247,14156.0,840172.0,0.8,0.84,0.88,0,0,0,1,0.23,80,15,1.448,0.0
12,31,29750.0,no,high_school,permanent,4,no,35261,no,0.0,0,14900,0.0,rent,bad,713221,34,1766.0,0.72603,14084.0,44700.0,0.0,0.0,0.02,0,1,0,0,0.22,65,0,0.6256,0.00031
13,46,29750.0,no,basic,permanent,25,no,5318,no,0.0,0,19100,0.0,rent,bad,1049623,11,7977.0,0.58904,17530.0,57300.0,0.0,0.0,0.67,0,0,1,0,0.41,57,-8,0.9338,3e-05
14,54,29750.0,no,basic,permanent,19,no,39516,no,0.0,0,16200,0.0,rent,bad,942211,29,2731.0,0.58904,14868.0,48600.0,0.0,0.0,0.09,0,0,1,0,0.3,83,18,0.6382,3e-05
15,26,29750.0,yes,basic,permanent,8,no,23994,no,0.0,0,14900,0.0,rent,bad,753665,17,3713.0,0.75342,14165.0,44700.0,0.0,0.0,0.25,0,1,0,0,0.23,43,-22,0.7544,0.0003
16,42,29750.0,no,phd,permanent,3,no,22353,yes,39127567.0,29036000,238000,0.0,own,excellent,9379516,7,111892.0,0.75342,226263.0,68877567.0,0.0,0.0,0.73,0,0,1,0,0.98,49,-16,0.1426,4e-05
17,58,29750.0,no,basic,permanent,20,no,28009,yes,0.0,3430000,16100,2492338.0,own,excellent,1155771,34,2861.0,0.60274,14821.0,985962.0,1.0,0.95,0.11,0,0,1,0,0.3,92,27,0.2242,0.0224
18,24,29750.0,yes,basic,permanent,8,no,12687,no,0.0,0,14900,0.0,rent,bad,1049678,25,3525.0,0.65753,13879.0,44700.0,0.0,0.0,0.23,1,0,0,0,0.2,49,-16,0.7532,0.0003
19,37,29750.0,no,high_school,freelancer,10,no,1,no,0.0,0,33100,0.0,rent,bad,2066260,24,7225.0,0.61644,30561.0,99300.0,0.0,0.0,0.19,0,1,0,0,0.73,61,-4,0.5474,0.00031
20,28,29750.0,no,bachelor,permanent,5,no,30109,yes,0.0,1658972,14900,566063.0,mortgage,excellent,2022100,27,6291.0,0.78082,14247.0,1137609.0,0.84,0.86,0.63,0,1,0,0,0.25,55,-10,0.3318,0.00388
21,56,29750.0,no,basic,permanent,8,no,15894,yes,15898281.0,0,17400,0.0,rent,fair,1569184,13,10097.0,0.56164,15875.0,15950481.0,0.0,0.0,0.88,0,0,1,0,0.35,69,4,0.672,1e-05
22,51,29750.0,no,high_school,permanent,9,no,9263,no,0.0,0,29300,0.0,rent,bad,831677,15,4641.0,0.68493,27454.0,87900.0,0.0,0.0,0.07,0,0,1,0,0.69,66,1,0.4922,0.00023
23,61,29750.0,no,bachelor,permanent,5,no,23628,yes,357088685.0,27968000,152000,0.0,own,excellent,16671340,28,50026.0,0.64384,141173.0,385512685.0,0.0,0.0,0.45,0,0,0,1,0.89,89,24,0.1186,0.0459
24,24,29750.0,no,bachelor,unemployed,0,yes,0,no,0.0,0,0,0.0,rent,bad,100000,2,4169.0,0.34247,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0.0,26,-39,2.0,0.0
25,60,29750.0,no,bachelor,permanent,30,no,29862,yes,0.0,7726874,129500,5890364.0,mortgage,excellent,3478314,10,29072.0,0.58904,118856.0,2225010.0,0.87,0.95,0.21,0,0,0,1,0.87,70,5,0.2349,0.7134
26,36,29750.0,yes,bachelor,permanent,7,no,32267,yes,6528998.0,2708305,23600,818821.0,mortgage,excellent,1707665,33,4354.0,0.91781,23212.0,8489282.0,0.83,0.79,0.1,0,1,0,0,0.59,69,4,0.231,0.72012
27,60,29750.0,no,high_school,freelancer,7,no,1,no,0.0,0,16700,0.0,rent,bad,1075037,35,2586.0,0.45205,14870.0,50100.0,0.0,0.0,0.08,0,0,0,1,0.3,95,30,0.6325,1e-05
28,47,29750.0,no,high_school,temporary,6,no,30,yes,0.0,2701016,27800,1018833.0,mortgage,fair,1921708,29,5569.0,0.63014,25744.0,1765583.0,0.84,0.87,0.16,0,0,1,0,0.66,76,11,0.5959,0.08873
29,43,29750.0,no,basic,permanent,16,no,14755,no,0.0,0,14900,0.0,rent,bad,629376,28,1889.0,0.58904,13675.0,44700.0,0.0,0.0,0.03,0,0,1,0,0.14,71,6,0.6589,0.00012
30,39,29750.0,no,high_school,permanent,2,no,27258,yes,0.0,2231584,22700,452407.0,mortgage,excellent,1304308,12,9090.0,0.72603,21456.0,1847277.0,0.79,0.83,0.6,0,1,0,0,0.53,51,-14,0.3003,0.0039
31,62,29750.0,no,high_school,permanent,13,no,1953,no,0.0,0,14900,0.0,rent,bad,1731477,19,7637.0,0.61644,13757.0,44700.0,0.0,0.0,0.8,0,0,0,1,0.17,81,16,1.0913,0.0
32,21,29750.0,yes,basic,permanent,4,no,36238,yes,0.0,1057695,14900,787402.0,mortgage,fair,1285405,35,3092.0,0.63014,13798.0,314993.0,0.89,0.95,0.17,1,0,0,0,0.18,56,-9,0.714,0.47056
33,50,29750.0,no,high_school,permanent,11,no,4034,yes,0.0,3546000,19700,0.0,own,excellent,612749,5,10228.0,0.71233,18567.0,3605100.0,0.0,0.0,0.8,0,0,1,0,0.44,55,-10,0.1844,4e-05
34,56,29750.0,no,basic,temporary,1,no,50,no,0.0,0,21400,0.0,rent,bad,1294900,11,9842.0,0.46575,19113.0,64200.0,0.0,0.0,0.75,0,0,1,0,0.46,67,2,0.9626,0.0
35,36,29750.0,no,high_school,permanent,2,no,13326,yes,0.0,1767731,28600,991761.0,mortgage,excellent,2663021,29,7718.0,0.72603,27033.0,861770.0,0.83,0.91,0.3,0,1,0,0,0.69,65,0,0.2557,0.94767
36,53,29750.0,no,bachelor,permanent,26,no,35442,yes,0.0,1871606,47200,1149512.0,mortgage,excellent,5495785,33,14013.0,0.76712,45002.0,863694.0,0.81,0.92,0.36,0,0,1,0,0.8,86,21,0.2538,0.04429
37,29,29750.0,no,high_school,freelancer,10,no,1,yes,0.0,2225302,26000,860118.0,mortgage,fair,1359784,8,14198.0,0.61644,24005.0,1443184.0,0.83,0.87,0.84,0,1,0,0,0.61,37,-28,0.8269,2e-05
38,45,29750.0,no,high_school,temporary,13,no,88,yes,0.0,4067977,25300,2856923.0,mortgage,excellent,3064023,20,12842.0,0.65753,23567.0,1286954.0,0.98,0.95,0.79,0,0,1,0,0.6,65,0,0.341,4e-05
39,62,29750.0,no,basic,freelancer,11,no,1,no,0.0,0,14900,0.0,rent,bad,1440714,26,4653.0,0.34247,12941.0,44700.0,0.0,0.0,0.46,0,0,0,1,0.08,88,23,0.9269,1e-05
40,19,29750.0,no,high_school,permanent,0,yes,23396,no,0.0,0,7438,0.0,rent,bad,110267,5,1841.0,0.60274,6847.0,22312.0,0.0,0.0,0.27,1,0,0,0,0.06,24,-41,0.8245,0.0
41,24,29750.0,no,high_school,permanent,5,no,29293,no,0.0,0,14900,0.0,rent,bad,1113449,35,2678.0,0.65753,13879.0,44700.0,0.0,0.0,0.11,1,0,0,0,0.2,59,-6,0.6842,0.00031
42,19,29750.0,no,high_school,permanent,0,no,31194,no,0.0,0,22000,0.0,rent,bad,1147852,20,4811.0,0.60274,20252.0,66000.0,0.0,0.0,0.2,1,0,0,0,0.5,39,-26,0.6325,0.00031
43,19,29750.0,no,bachelor,freelancer,0,yes,1,no,0.0,0,16363,0.0,rent,bad,2054042,21,8201.0,0.46575,14614.0,49088.0,0.0,0.0,0.81,1,0,0,0,0.28,40,-25,1.0592,0.0
44,28,29750.0,no,basic,permanent,12,no,12504,no,0.0,0,14900,0.0,rent,bad,895129,11,6803.0,0.64384,13839.0,44700.0,0.0,0.0,0.72,0,1,0,0,0.19,39,-26,1.0384,0.0
45,61,29750.0,no,bachelor,permanent,10,no,15666,yes,0.0,3122310,58000,3110497.0,mortgage,excellent,7693616,31,20870.0,0.67123,54186.0,185813.0,0.89,1.0,0.52,0,0,0,1,0.81,92,27,0.2846,0.00011
46,43,29750.0,no,bachelor,permanent,4,no,26332,yes,0.0,21125000,146700,14727841.0,own,excellent,15503205,33,39530.0,0.69863,137858.0,6837259.0,0.97,0.94,0.31,0,0,1,0,0.88,76,11,0.2061,0.1777
